지역,주유소 수,위도,경도
인천 미추홀구,32,37.4636,126.6502
인천 부평구,39,37.5070221,126.7220068
인천 서구,72,37.545,126.676
인천 연수구,18,37.4098,126.6787
인천 옹진군,11,37.48690155,126.41560313854846
인천 중구,37,37.4765694,126.6173655
전남 강진군,23,34.641917,126.7669591
전남 고흥군,39,34.6044123,127.276384
전남 곡성군,26,35.2818969,127.2914673
전남 광양시,70,34.9406452,127.6959512
전남 구례군,16,35.2203329,127.473277
전남 나주시,59,35.0158859,126.7108313
전남 담양군,27,35.320878,126.9883238
전남 목포시,45,34.7903335,126.3847547
전남 무안군,37,34.9905794,126.4812377
전남 보성군,39,34.7711356,127.0798978
전남 순천시,92,34.9505457,127.4872992
전남 신안군,17,34.8331095,126.3522531
전남 여수시,98,34.7546257,127.659859
전남 영광군,33,35.2769282,126.5124504
전남 영암군,52,34.800052,126.6970381
전남 완도군,22,34.3110373,126.7553933
전남 장성군,33,35.3017065,126.7844061
전남 장흥군,22,34.6811762,126.906996
전남 진도군,19,34.4867515,126.2629264
전남 함평군,23,35.0656537,126.5166414
전남 해남군,42,34.55269,126.52431
전남 화순군,35,35.0643095,126.9864311
전북 고창군,41,35.4355,126.7021
전북 군산시,111,35.9679984,126.7369036
전북 김제시,80,35.803815,126.880557
전북 남원시,49,35.4163118,127.3903713
전북 무주군,28,36.007,127.6609
전북 부안군,40,35.7316783,126.7330195
전북 순창군,18,35.3741,127.1374
전북 완주군,73,35.9039,127.1622
전북 익산시,139,35.9479291,126.9578025
전북 임실군,24,35.6174,127.2893
전북 장수군,13,35.647,127.5212
전북 전주시,164,35.8242715,127.1480657
전북 정읍시,72,35.5697678,126.8559787
전북 진안군,21,35.7915,127.4252
제주 서귀포시,64,33.2572971,126.515299
제주 제주시,129,33.4930566,126.5130589
충남 계룡시,5,36.2867378,127.2443019
충남 공주시,84,36.4563015,127.11041791651786
충남 금산군,40,36.1037155,127.50363629402298
충남 논산시,81,36.1868623,127.0987857
충남 당진시,100,36.8904083,126.6461833
충남 보령시,53,36.33401,126.613165
충남 부여군,48,36.27536495,126.90266167075977
충남 서산시,85,36.784499,126.450317
충남 서천군,32,36.0097012,126.6920346670793
충남 아산시,114,36.7899498,127.0026769
충남 예산군,61,36.6808989,126.8448742
충남 천안시,168,36.8150283,127.1140654
충남 청양군,28,36.46400955,126.79458056568842
충남 태안군,39,36.695903,126.157995
충남 홍성군,55,36.5883966,126.65794219767355
충북 괴산군,40,36.815,127.7866
충북 단양군,31,36.9848,128.3659
충북 보은군,28,36.4890118,127.729242
충북 영동군,31,36.1747588,127.7834432
충북 옥천군,31,36.3061,127.5716
충북 음성군,81,36.94,127.6906
충북 제천시,76,37.1326042,128.1913508
충북 증평군,17,36.7854,127.5819
충북 진천군,59,36.8548,127.4355
충북 청주시,220,36.6421169,127.4891742
충북 충주시,91,36.9907334,127.9259891
