상호,주소,휘발유_편차
금영주유소,경남 김해시 진례면 서부로 858,-63.78984586964655
율리셀프주유소,울산 울주군 청량면 웅촌로 1044,-63.597012528161464
케이티엑스주유소,경상남도 창원시 의창구  의창대로 51-3 (소계동),-63.586166173705884
소망주유소,대구광역시 동구  동촌로 148 (검사동),-63.50645187544084
삼광주유소,대구 북구 칠곡중앙대로 174 (태전동),-63.47016636052309
(주)천주산주유소,경남 창원시 의창구 정렬대로 119,-63.39502382621777
오일드림주유소,경북 구미시 산업로 140 (원평동),-63.307508091844056
(주)오일할인마트, ,-63.1663124754034
포석주유소,경상북도 경주시 내남면 반구대로 2700,-63.16579416802604
광명주유소,대구 서구 서대구로 201 (평리동),-63.08553881888813
SK지지주유소,경기 수원시 권선구 매송고색로 810 (고색동),-63.07076568778945
금암고속주유소,경북 칠곡군 동명면 경북대로 519,-62.900326637432855
상남셀프주유소,경남 창원시 성산구 마디미로 74번길 14,-62.81324723224055
세명주유소,경남 김해시 진영읍 서부로 307,-62.62331295717963
경인에너지(주)파주아동,경기 파주시 통일로 630 (아동동),-62.50418304662979
㈜유턴상사 통일주유소,인천 서구 단봉로 68 (왕길동),-62.15479377267079
효천 SOIL,경상남도 김해시 생림면 생림대로 1037,-62.10682938631211
두바이주유소,경남 창원시 마산합포구 3.15대로 172 (중앙동2가),-62.060909138713974
명품주유소,경북 경산시 원효로 355 (평산동),-62.032314286927296
산단주유소,경남 함안군 군북면 함안산단로 69,-62.008797172691004
(주)중앙그린에너지,전남 함평군 해보면 영광로 2546,-61.96686444332051
장성농협주유소,전남 장성군 장성읍 뱃나드리로 245,-61.89687920262089
제이엠 외동self주유소, ,-61.86028120695001
금영오일(주)바다주유소,경남 통영시 도산면 남해안대로 2119,-61.84763899001177
신주례센텀주유소,부산광역시 사상구  백양대로 333 (주례동),-61.84232182916589
(주)대영유니온즈,대전 중구 동서대로 1293 (오류동),-61.71191338922769
광동페트로㈜ 감사드림주유소,부산 연제구 거제대로 98,-61.64427391690451
옥봉주유소,경남 진주시 남강로 735 (옥봉동),-61.56573137990223
무척산주유소,경남 김해시 생림면 생림대로 1010,-61.37920466177614
반디주유소,광주 북구 하남대로 819 (운암동),-61.35637811311151
금강주유소,부산 동래구 충렬대로 400,-61.3102432577612
영남화훼원예농협주유소,경남 김해시  분성로 465,-61.282329897165766
(주)서강에너지,경남 양산시 동면 양산대로 410,-61.155513078302
이마트 김해점 셀프주유소,경남 김해시 김해대로 2232,-61.038682214288684
마도알뜰주유소,경기 화성시 마도면 두곡서길 58,-60.983471778915536
속초가스충전소(주),강원 속초시 미시령로 3239 (교동),-60.96854677007992
가산평화주유소,경북 칠곡군 가산면 경북대로 1318,-60.9522288647336
광명주유소,대구 남구 봉덕로 29 (봉덕동),-60.84361019154248
KH에너지(주)직영수림공원주유소,인천 남동구 주안로 270 (간석동),-60.8285570917635
칠서주유소,경상남도 함안군 칠서면 삼칠로 305칠서주유소,-60.65528319323971
(주)대웅에너지 성당주유소,대구 달서구 성당로 217 (두류동),-60.63982492534364
한일주유소,충청북도 청주시 흥덕구 직지대로 612 (봉명동),-60.50571884993317
롯데마트구미점 행복드림주유소,경북 구미시 구미대로22길 11 (신평동),-60.38919105950245
터미널주유소,경남 고성군 고성읍 송학고분로 349,-60.122796316707415
해와달주유소,경기 가평군 청평면 경춘로 1013,-60.066746822021855
새고개주유소,경남 사천시 새고개길 18,-60.01464933326498
